May  5 13:05:19 kernel: klogd started: BusyBox v1.25.1 (2022-04-12 20:30:56 CST)
May  5 13:05:19 kernel: [    0.000000] Linux version 4.4.198 (paldier@paldier-SWRTdev) (gcc version 5.4.0 (LEDE GCC 5.4.0 r0-22e5567) ) #1 SMP Tue Apr 12 20:31:54 CST 2022
May  5 13:05:19 kernel: [    0.000000] Primary instruction cache 32kB, VIPT, 4-way, linesize 32 bytes.
May  5 13:05:19 kernel: [    0.000000] Primary data cache 32kB, 4-way, PIPT, no aliases, linesize 32 bytes
May  5 13:05:19 kernel: [    0.000000] MIPS secondary cache 256kB, 8-way, linesize 32 bytes.
May  5 13:05:19 kernel: [    0.000000] Kernel command line: console=ttyS0,115200 rootfstype=squashfs,jffs2
May  5 13:05:19 kernel: [    0.132308] Primary instruction cache 32kB, VIPT, 4-way, linesize 32 bytes.
May  5 13:05:19 kernel: [    0.132317] Primary data cache 32kB, 4-way, PIPT, no aliases, linesize 32 bytes
May  5 13:05:19 kernel: [    0.132327] MIPS secondary cache 256kB, 8-way, linesize 32 bytes.
May  5 13:05:19 kernel: [    0.252132] Primary instruction cache 32kB, VIPT, 4-way, linesize 32 bytes.
May  5 13:05:19 kernel: [    0.252138] Primary data cache 32kB, 4-way, PIPT, no aliases, linesize 32 bytes
May  5 13:05:19 kernel: [    0.252145] MIPS secondary cache 256kB, 8-way, linesize 32 bytes.
May  5 13:05:19 kernel: [    0.369989] Primary instruction cache 32kB, VIPT, 4-way, linesize 32 bytes.
May  5 13:05:19 kernel: [    0.369996] Primary data cache 32kB, 4-way, PIPT, no aliases, linesize 32 bytes
May  5 13:05:19 kernel: [    0.370002] MIPS secondary cache 256kB, 8-way, linesize 32 bytes.
May  5 13:05:19 kernel: [    0.611432] mt7621-pci 1e140000.pcie: Failed to get gpio for PCIe1
May  5 13:05:19 kernel: [    0.623642] mt7621-pci 1e140000.pcie: Failed to get gpio for PCIe2
May  5 13:05:19 kernel: [    1.405027] mtk_soc_eth 1e100000.ethernet: generated random MAC address e2:17:5d:e8:93:f6
May  5 13:05:19 kernel: [    1.433164] mtk_soc_eth 1e100000.ethernet: generated random MAC address 76:e5:0f:ca:9d:f8
May  5 13:05:19 kernel: [    1.587849] mtkmips-pinmux pinctrl: spi is already enabled
May  5 13:05:19 kernel: [    1.593390] mtk-nand 1e003000.nand: Error applying setting, reverse things back
May  5 13:05:19 kernel: [    2.566736] Bad eraseblock 575 at 0x0000047e0000
May  5 13:05:19 kernel: [    3.305377] 10 ofpart partitions found on MTD device mtk-nand
May  5 13:05:19 kernel: [    3.311108] Creating 10 MTD partitions on "mtk-nand":
May  5 13:05:19 kernel: [    3.316140] 0x000000000000-0x0000000e0000 : "Bootloader"
May  5 13:05:19 kernel: [    3.323099] 0x000000100000-0x000000140000 : "SC_PART_MAP"
May  5 13:05:19 kernel: [    3.329943] 0x000000140000-0x000000200000 : "nvram"
May  5 13:05:19 kernel: [    3.336306] 0x000000200000-0x000002e00000 : "Kernel"
May  5 13:05:19 kernel: [    3.343933] 2 asus-fw partitions found on MTD device Kernel
May  5 13:05:19 kernel: [    3.349496] 0x000000200000-0x000000600000 : "linux"
